,term,NN 0,NN 1,NN2,NN 5,NN10,NN 50,Outlier
16,ideas,"('conditioning', 0.9998748302459717)","('parts', 0.9998624324798584)","('sense_datum', 0.9998178482055664)","[('memory', 0.9997144937515259)]","[('construction', 0.9995126724243164)]","[('truth_vehicles', 0.9950840473175049)]","('actually', 0.5693684816360474)"
17,reality,"('quantification', 0.9999670386314392)","('nouns', 0.9999456405639648)","('description', 0.9999438524246216)","[('translation', 0.9999123811721802)]","[('meaninglessness', 0.9998998045921326)]","[('learning', 0.99535071849823)]","('actually', 0.5650321245193481)"
18,application,"('subtraction', 0.9998891353607178)","('numbers', 0.999871015548706)","('pronouns', 0.9998703598976135)","[('variables', 0.9997222423553467)]","[('propositional_attitudes', 0.9995537996292114)]","[('divided_reference', 0.9915616512298584)]","('actually', 0.5570788383483887)"
19,reduction,"('ordered_pair', 0.9999876022338867)","('pronouns', 0.9999784231185913)","('subtraction', 0.9999730587005615)","[('about', 0.9999050498008728)]","[('observation_sentences', 0.9998430013656616)]","[('learning', 0.9933051466941833)]","('actually', 0.5611659288406372)"
20,parts,"('conditioning', 0.9999842047691345)","('sense_datum', 0.9999728202819824)","('prediction', 0.9999655485153198)","[('object', 0.9998741149902344)]","[('translation', 0.9998102188110352)]","[('specious_present', 0.9951412677764893)]","('actually', 0.5670267343521118)"
21,ambiguity,"('object', 0.9995896816253662)","('nouns', 0.9995443820953369)","('conditionals', 0.999504566192627)","[('adjectives', 0.9995035529136658)]","[('meaninglessness', 0.9994951486587524)]","[('learning', 0.9946225881576538)]","('actually', 0.5624528527259827)"
22,memory,"('ideas', 0.9997144937515259)","('mentalistic', 0.9995752573013306)","('conditioning', 0.9994903206825256)","[('prediction', 0.9993042945861816)]","[('nominalism', 0.9989186525344849)]","[('truth_vehicles', 0.9942007660865784)]","('understand', 0.5437227487564087)"
23,truth_vehicles,"('quantifiers', 0.9973220825195312)","('pronouns', 0.9967563152313232)","('numbers', 0.9967342615127563)","[('description', 0.9966405630111694)]","[('application', 0.9965712428092957)]","[('learning', 0.9892294406890869)]","('underdetermined', 0.5614906549453735)"
24,mentalistic,"('conditioning', 0.9998042583465576)","('ideas', 0.9997698068618774)","('parts', 0.9997476935386658)","[('prediction', 0.9996947050094604)]","[('reality', 0.9994577765464783)]","[('truth_vehicles', 0.9948755502700806)]","('semantical', 0.551192045211792)"
25,confirmation,"('meaning', 0.9999825954437256)","('about', 0.9999709129333496)","('transparency', 0.9999648928642273)","[('reduction', 0.9999485611915588)]","[('utterances', 0.9999334812164307)]","[('learning', 0.9941227436065674)]","('impredicative', 0.5573632717132568)"
26,description,"('intensional_abstraction', 0.9999781847000122)","('conditionals', 0.9999754428863525)","('nouns', 0.9999754428863525)","[('adjectives', 0.9999732375144958)]","[('logical_particles', 0.9999700784683228)]","[('learning', 0.9950604438781738)]","('actually', 0.564378023147583)"
27,ordered_pair,"('reduction', 0.9999876022338867)","('pronouns', 0.9999734163284302)","('subtraction', 0.9999714493751526)","[('about', 0.9998800158500671)]","[('application', 0.9998271465301514)]","[('learning', 0.9930462837219238)]","('actually', 0.5610780715942383)"
28,object,"('nouns', 0.9999798536300659)","('quantification', 0.9999688863754272)","('translation', 0.9999668598175049)","[('adjectives', 0.9999526143074036)]","[('utterances', 0.9999469518661499)]","[('learning', 0.9954464435577393)]","('actually', 0.5654054284095764)"
29,mental_states,"('prediction', 0.9999403357505798)","('translation', 0.9999146461486816)","('quantification', 0.9999136924743652)","[('sense_datum', 0.9998910427093506)]","[('adjectives', 0.9998788833618164)]","[('quantifiers', 0.9949883222579956)]","('semantical', 0.5520907044410706)"
30,subtraction,"('pronouns', 0.999973714351654)","('reduction', 0.9999730587005615)","('ordered_pair', 0.9999714493751526)","[('meaning', 0.9998419284820557)]","[('transparency', 0.9997919797897339)]","[('learning', 0.9926812052726746)]","('impredicative', 0.5626859664916992)"
31,prediction,"('sense_datum', 0.9999662637710571)","('parts', 0.9999655485153198)","('quantification', 0.9999653100967407)","[('reality', 0.9999249577522278)]","[('description', 0.9998828768730164)]","[('quantifiers', 0.9950577020645142)]","('semantical', 0.5503400564193726)"
32,sense_datum,"('parts', 0.9999728202819824)","('prediction', 0.9999662637710571)","('conditioning', 0.9999591708183289)","[('mental_states', 0.9998910427093506)]","[('description', 0.9998213648796082)]","[('specious_present', 0.9952532052993774)]","('underdetermined', 0.5641120076179504)"
33,pronouns,"('reduction', 0.9999784231185913)","('subtraction', 0.999973714351654)","('ordered_pair', 0.9999734163284302)","[('about', 0.9998717904090881)]","[('intension', 0.9998229146003723)]","[('divided_reference', 0.9929946660995483)]","('impredicative', 0.5618996024131775)"
34,meaning,"('about', 0.9999960660934448)","('transparency', 0.9999924302101135)","('propositional_attitudes', 0.999990701675415)","[('observation_sentences', 0.9999809265136719)]","[('meaninglessness', 0.9999712705612183)]","[('learning', 0.9943574070930481)]","('actually', 0.5631041526794434)"
35,construction,"('quantification', 0.9999727606773376)","('nouns', 0.9999585747718811)","('translation', 0.9999510645866394)","[('conditionals', 0.999944806098938)]","[('time', 0.999937891960144)]","[('maxim', 0.9956592917442322)]","('actually', 0.5646764636039734)"
36,conditioning,"('parts', 0.9999842643737793)","('sense_datum', 0.9999592900276184)","('prediction', 0.9999458193778992)","[('mental_states', 0.9998643398284912)]","[('nouns', 0.9997803568840027)]","[('specious_present', 0.9954869151115417)]","('semantical', 0.549617350101471)"
37,nouns,"('intensional_abstraction', 0.9999873042106628)","('conditionals', 0.9999858140945435)","('translation', 0.9999852776527405)","[('meaninglessness', 0.9999827146530151)]","[('quantification', 0.999976634979248)]","[('learning', 0.9951952695846558)]","('impredicative', 0.5544624328613281)"
38,translation,"('conditionals', 0.9999953508377075)","('intensional_abstraction', 0.9999953508377075)","('adjectives', 0.9999948740005493)","[('objects', 0.9999930262565613)]","[('posit', 0.9999879002571106)]","[('learning', 0.9952461123466492)]","('actually', 0.5647087693214417)"
39,intension,"('posit', 0.9999978542327881)","('logical_particles', 0.9999971389770508)","('observation_sentences', 0.9999969005584717)","[('time', 0.9999954700469971)]","[('utterances', 0.9999934434890747)]","[('learning', 0.9946820139884949)]","('impredicative', 0.5557953119277954)"
40,about,"('transparency', 0.9999985694885254)","('propositional_attitudes', 0.9999983310699463)","('meaning', 0.9999960660934448)","[('observation_sentences', 0.9999904036521912)]","[('attributes', 0.9999831914901733)]","[('learning', 0.9944681525230408)]","('actually', 0.5632340908050537)"
41,propositional_attitudes,"('about', 0.9999984502792358)","('transparency', 0.9999982118606567)","('intension', 0.9999958872795105)","[('meaning', 0.9999908208847046)]","[('attributes', 0.9999872446060181)]","[('learning', 0.9944831728935242)]","('impredicative', 0.5567858815193176)"
42,utterances,"('objects', 0.9999995231628418)","('adjectives', 0.999999463558197)","('conditionals', 0.9999994039535522)","[('logical_particles', 0.9999990463256836)]","[('translation', 0.9999947547912598)]","[('learning', 0.9949877262115479)]","('impredicative', 0.5548571348190308)"
43,quantification,"('nouns', 0.9999765157699585)","('construction', 0.9999727010726929)","('object', 0.9999687671661377)","[('translation', 0.9999597668647766)]","[('meaninglessness', 0.9999404549598694)]","[('quantifiers', 0.9956674575805664)]","('actually', 0.565190315246582)"
44,logical_particles,"('posit', 0.9999996423721313)","('observation_sentences', 0.9999995231628418)","('time', 0.9999992847442627)","[('utterances', 0.999998927116394)]","[('intension', 0.9999971389770508)]","[('learning', 0.9948855638504028)]","('impredicative', 0.5551574230194092)"
45,observation_sentences,"('logical_particles', 0.9999996423721313)","('posit', 0.9999995231628418)","('objects', 0.9999988675117493)","[('meaninglessness', 0.999998152256012)]","[('intensional_abstraction', 0.9999964237213135)]","[('learning', 0.9948699474334717)]","('actually', 0.5639089345932007)"
46,adjectives,"('conditionals', 0.9999998807907104)","('attributes', 0.9999996423721313)","('time', 0.9999996423721313)","[('utterances', 0.999999463558197)]","[('translation', 0.9999948740005493)]","[('learning', 0.994995653629303)]","('impredicative', 0.5549177527427673)"
47,objects,"('attributes', 0.9999998807907104)","('time', 0.9999998807907104)","('conditionals', 0.9999997019767761)","[('meaninglessness', 0.9999992847442627)]","[('intension', 0.999995231628418)]","[('learning', 0.9949288964271545)]","('so', 0.5562425851821899)"
48,transparency,"('about', 0.9999985694885254)","('propositional_attitudes', 0.9999980330467224)","('intension', 0.9999966621398926)","[('logical_particles', 0.9999937415122986)]","[('attributes', 0.9999897480010986)]","[('learning', 0.9946048259735107)]","('denotative', 0.5627066493034363)"
49,time,"('objects', 0.9999999403953552)","('attributes', 0.9999998807907104)","('adjectives', 0.9999996423721313)","[('meaninglessness', 0.9999993443489075)]","[('intension', 0.9999955296516418)]","[('learning', 0.9949171543121338)]","('actually', 0.5640371441841125)"
50,posit,"('logical_particles', 0.9999996423721313)","('observation_sentences', 0.9999995231628418)","('time', 0.9999992847442627)","[('meaninglessness', 0.9999986886978149)]","[('intensional_abstraction', 0.9999971389770508)]","[('learning', 0.9948250651359558)]","('impredicative', 0.555458128452301)"
51,attributes,"('objects', 0.9999998807907104)","('time', 0.9999998807907104)","('conditionals', 0.9999998211860657)","[('meaninglessness', 0.999999463558197)]","[('intension', 0.999994695186615)]","[('learning', 0.9949374198913574)]","('actually', 0.5640752911567688)"
52,meaninglessness,"('attributes', 0.999999463558197)","('objects', 0.9999994039535522)","('time', 0.9999993443489075)","[('intensional_abstraction', 0.9999990463256836)]","[('intension', 0.9999942779541016)]","[('learning', 0.9949236512184143)]","('impredicative', 0.5552577972412109)"
53,intensional_abstraction,"('conditionals', 0.9999998807907104)","('adjectives', 0.9999996423721313)","('attributes', 0.9999995231628418)","[('meaninglessness', 0.9999990463256836)]","[('translation', 0.9999953508377075)]","[('learning', 0.9950168132781982)]","('underdetermined', 0.5704101324081421)"
54,conditionals,"('intensional_abstraction', 1.0)","('adjectives', 0.9999998807907104)","('attributes', 0.9999998211860657)","[('utterances', 0.9999994039535522)]","[('translation', 0.9999953508377075)]","[('learning', 0.9950013160705566)]","('impredicative', 0.5548447370529175)"
