,term,NN 0,NN 1,NN2,NN 5,NN10,NN 50,Outlier
14,dispositions,"('phoneme', 0.8855436444282532)","('physicalism', 0.7778458595275879)","('ambiguity', 0.7644619941711426)","[('learning', 0.6840236186981201)]","[('indeed', 0.5969341993331909)]","[('elizium23', 0.5700361728668213)]","('understand', 0.5542381405830383)"
15,relative_terms,"('specious_present', 0.8623037338256836)","('ideas', 0.7685747146606445)","('attributes', 0.6892504692077637)","[('confirmation', 0.3916059732437134)]","[('nouns', 0.2326674610376358)]","[('conn', -0.08764718472957611)]","('chester', -0.11219875514507294)"
16,ideas,"('specious_present', 0.846146821975708)","('relative_terms', 0.7685747146606445)","('utterances', 0.6357321739196777)","[('adjectives', 0.5001513957977295)]","[('transparency', 0.23894596099853516)]","[('rattler', -0.007654551416635513)]","('quantification', -0.09853388369083405)"
17,reality,"('quantification', 0.7594356536865234)","('parts', 0.6579746603965759)","('nouns', 0.613336443901062)","[('words', 0.4933135509490967)]","[('intension', 0.3382425308227539)]","[('npcs', 0.23566192388534546)]","('reduction', 0.21448436379432678)"
18,application,"('phoneme', 0.7656657099723816)","('ambiguity', 0.7322223782539368)","('divided_reference', 0.679699182510376)","[('information', 0.5883387327194214)]","[('dispositions', 0.5295826196670532)]","[('find', 0.4157821536064148)]","('quite', 0.39072084426879883)"
19,reduction,"('conditionals', 0.7143917083740234)","('ordered_pair', 0.6487832069396973)","('memory', 0.5213330984115601)","[('truth_vehicles', 0.42716848850250244)]","[('words', 0.32072576880455017)]","[('innuendos', 0.24720698595046997)]","('truths', 0.23513129353523254)"
20,parts,"('nominalism', 0.8482801914215088)","('ambiguity', 0.8301409482955933)","('truth_functions', 0.7626241445541382)","[('reality', 0.6579746603965759)]","[('physicalism', 0.5763875246047974)]","[('conversationally', 0.46152371168136597)]","('even', 0.44676080346107483)"
21,ambiguity,"('nominalism', 0.8547129034996033)","('phoneme', 0.8540822267532349)","('parts', 0.8301409482955933)","[('application', 0.7322224378585815)]","[('really', 0.6607893705368042)]","[('__notoc__', 0.5589238405227661)]","('believe', 0.5390712022781372)"
22,memory,"('meaning', 0.7109130024909973)","('reduction', 0.5213330984115601)","('mental_states', 0.48720505833625793)","[('conditioning', 0.4233762323856354)]","[('information', 0.40460512042045593)]","[('heartsick', 0.3478661775588989)]","('stuff', 0.32973721623420715)"
23,truth_vehicles,"('subtraction', 0.8543700575828552)","('numbers', 0.7420178651809692)","('time', 0.6681967973709106)","[('paradox', 0.5470851063728333)]","[('agnosticism', 0.4451896548271179)]","[('objectivism', 0.37760472297668457)]","('constructivism', 0.35995346307754517)"
24,mentalistic,"('learning', 0.7312830686569214)","('maxim', 0.6601607799530029)","('dispositions', 0.6176667213439941)","[('divided_reference', 0.5472625494003296)]","[('ignorant', 0.4408791661262512)]","[('caustically', 0.39720606803894043)]","('memory', 0.38079312443733215)"
25,confirmation,"('transparency', 0.6416234970092773)","('specious_present', 0.5991045236587524)","('ideas', 0.4250956177711487)","[('meaninglessness', 0.3460054397583008)]","[('nouns', 0.28338825702667236)]","[('144', 0.03859987482428551)]","('supplemented', 0.024813000112771988)"
26,description,"('object', 0.7125421762466431)","('observation_sentences', 0.5721513032913208)","('truth_functions', 0.5190949440002441)","[('variables', 0.4722336530685425)]","[('subgeneric', 0.4335482120513916)]","[(""noun's"", 0.4001774191856384)]","('definitions', 0.3768027424812317)"
27,ordered_pair,"('reduction', 0.6487832069396973)","('truth_vehicles', 0.6313872337341309)","('conditionals', 0.51842200756073)","[('observation_sentences', 0.41832435131073)]","[('posit', 0.3862661123275757)]","[('originalist', 0.3126331567764282)]","('discourse', 0.2937350273132324)"
28,object,"('posit', 0.8041976690292358)","('objects', 0.773756742477417)","('description', 0.7125421762466431)","[('observation_sentences', 0.5572064518928528)]","[('hyperedges', 0.44139495491981506)]","[('componentwise', 0.4047980308532715)]","('categorical', 0.36958661675453186)"
29,mental_states,"('translation', 0.7821323871612549)","('nominalism', 0.7509139776229858)","('variables', 0.7358447313308716)","[('parts', 0.6944733262062073)]","[('physicalism', 0.6053088307380676)]","[('diffmode', 0.522758424282074)]","('logical_particles', 0.4997648000717163)"
30,subtraction,"('numbers', 0.8578636646270752)","('truth_vehicles', 0.8543700575828552)","('prediction', 0.8348683714866638)","[('sense_datum', 0.5349727869033813)]","[('psychologism', 0.4923953711986542)]","[('agnosticism', 0.43604815006256104)]","('epistemology', 0.40620964765548706)"
31,prediction,"('subtraction', 0.8348683714866638)","('numbers', 0.690130352973938)","('truth_vehicles', 0.6556803584098816)","[('sense_datum', 0.5363653302192688)]","[(""feuerbach's"", 0.30910149216651917)]","[(""riemann's"", 0.2636508345603943)]","('metaphysics', 0.24168486893177032)"
32,sense_datum,"('time', 0.7301850318908691)","('construction', 0.5611881017684937)","('prediction', 0.5363653302192688)","[('posit', 0.5190473794937134)]","[('paradox', 0.4117143154144287)]","[('euler', 0.24344290792942047)]","('divisibility', 0.22320935130119324)"
33,pronouns,"('propositional_attitudes', 0.8141608834266663)","('about', 0.6425174474716187)","('divided_reference', 0.5624713897705078)","[('truth_functions', 0.5317623615264893)]","[('objects', 0.4136502742767334)]","[('sustainably', 0.29533639550209045)]","('desirable', 0.27970218658447266)"
34,meaning,"('memory', 0.7109130620956421)","('intensional_abstraction', 0.6337363123893738)","('information', 0.5721820592880249)","[('words', 0.44318604469299316)]","[('intension', 0.3319508135318756)]","[('gargling', 0.2582489550113678)]","('say', 0.2430184781551361)"
35,construction,"('quantifiers', 0.6827671527862549)","('nouns', 0.5840516090393066)","('sense_datum', 0.5611881017684937)","[('ideas', 0.42670974135398865)]","[('reality', 0.2373507022857666)]","[('formula_46', 0.1767955869436264)]","('infinite', 0.15368515253067017)"
36,conditioning,"('conditionals', 0.6936150789260864)","('reduction', 0.4902670085430145)","('memory', 0.423376202583313)","[('attributes', 0.2861337959766388)]","[('barrowlands', 0.26036304235458374)]","[('information', 0.229167178273201)]","('stuff', 0.21776601672172546)"
37,nouns,"('adjectives', 0.7453526854515076)","('utterances', 0.6774950623512268)","('reality', 0.613336443901062)","[('words', 0.47131961584091187)]","[('intensional_abstraction', 0.37523266673088074)]","[('occupancies', 0.10680995881557465)]","('nodes', 0.09192568063735962)"
38,translation,"('mental_states', 0.7821323871612549)","('logical_particles', 0.7578331828117371)","('nominalism', 0.7366088628768921)","[('intensional_abstraction', 0.5981030464172363)]","[('meaning', 0.5365481376647949)]","[('formula_224', 0.503150463104248)]","('suppose', 0.4722517132759094)"
39,intension,"('truth_functions', 0.7252649068832397)","('words', 0.6800811290740967)","('nominalism', 0.65519779920578)","[('variables', 0.5284697413444519)]","[('endocentric', 0.4784497916698456)]","[('morphophonemic', 0.4480642080307007)]","('dispositions', 0.43345969915390015)"
40,about,"('propositional_attitudes', 0.9358148574829102)","('posit', 0.814532995223999)","('objects', 0.7275334596633911)","[('adjectives', 0.582388699054718)]","[('observation_sentences', 0.3363316059112549)]","[('preconditions', 0.2114240527153015)]","('categorical', 0.19689801335334778)"
41,propositional_attitudes,"('about', 0.9358148574829102)","('pronouns', 0.8141608834266663)","('posit', 0.6343877911567688)","[('objects', 0.558279812335968)]","[('description', 0.35415223240852356)]","[('teleworking', 0.20410677790641785)]","('desired', 0.1842726469039917)"
42,utterances,"('adjectives', 0.8399041891098022)","('nouns', 0.6774951219558716)","('ideas', 0.6357321739196777)","[('specious_present', 0.468923956155777)]","[('propositional_attitudes', 0.25018179416656494)]","[('13s', 0.026671363040804863)]","('platinum', 0.009788155555725098)"
43,quantification,"('reality', 0.7594356536865234)","('propositional_attitudes', 0.5921144485473633)","('pronouns', 0.5435982942581177)","[('intension', 0.44284480810165405)]","[('nominalism', 0.3660319745540619)]","[('vocabularies', 0.24927040934562683)]","('ambiguity', 0.22737374901771545)"
44,logical_particles,"('translation', 0.7578331828117371)","('variables', 0.7228307723999023)","(""sperner's"", 0.6230364441871643)","[(""hadamard's"", 0.5957897901535034)]","[(""lebesgue's"", 0.587913990020752)]","[(""fubini's"", 0.5665344595909119)]","('kuratowski', 0.5514193773269653)"
45,observation_sentences,"('physicalism', 0.8970274925231934)","('variables', 0.7793430089950562)","('objects', 0.7791314125061035)","[('ambiguity', 0.6702656745910645)]","[('adaptationist', 0.6604167222976685)]","[('contextuality', 0.628420352935791)]","('notion', 0.6009529829025269)"
46,adjectives,"('utterances', 0.8399041295051575)","('nouns', 0.7453526854515076)","('about', 0.582388699054718)","[('posit', 0.5111610293388367)]","[('specious_present', 0.3559369742870331)]","[('fractional', 0.09157919138669968)]","('multiplication', 0.0728476494550705)"
47,objects,"('posit', 0.8887763619422913)","('observation_sentences', 0.7791314125061035)","('object', 0.773756742477417)","[('variables', 0.5780197978019714)]","[('description', 0.5103201270103455)]","[('urelements', 0.48002809286117554)]","('thus', 0.4062650203704834)"
48,transparency,"('confirmation', 0.6416234374046326)","('intensional_abstraction', 0.4400668144226074)","('meaninglessness', 0.3646047115325928)","[('decreased', 0.2555401027202606)]","[('mental_states', 0.23615023493766785)]","[('μl', 0.20426607131958008)]","('shortened', 0.18821144104003906)"
49,time,"('subtraction', 0.7633507251739502)","('sense_datum', 0.7301849722862244)","('numbers', 0.6836497783660889)","[('conditionals', 0.5768187642097473)]","[('objects', 0.39901894330978394)]","[(""evola's"", 0.33082786202430725)]","('philosophers', 0.3059750199317932)"
50,posit,"('objects', 0.8887763619422913)","('about', 0.814532995223999)","('object', 0.8041976690292358)","[('sense_datum', 0.5190473794937134)]","[('formula_170', 0.4692894518375397)]","[('formula_186', 0.4332887530326843)]","('arithmetical', 0.4196796417236328)"
51,attributes,"('relative_terms', 0.6892505884170532)","('prediction', 0.6334723234176636)","('ideas', 0.5838376879692078)","[('numbers', 0.4369370639324188)]","[('conditioning', 0.2861337959766388)]","[('mmk', 0.01763315685093403)]","('vol', -0.010538049042224884)"
52,meaninglessness,"('quantification', 0.4842832088470459)","('information', 0.47685086727142334)","('transparency', 0.3646047115325928)","[('maxim', 0.3164089620113373)]","[('doer', 0.22191786766052246)]","[('truth_functions', 0.17939269542694092)]","('disagree', 0.16790077090263367)"
53,intensional_abstraction,"('mental_states', 0.6536668539047241)","('meaning', 0.6337363123893738)","('translation', 0.5981030464172363)","[('nominalism', 0.5052311420440674)]","[('memory', 0.40919268131256104)]","[(""yak's"", 0.33578935265541077)]","('density', 0.31782227754592896)"
54,conditionals,"('reduction', 0.7143917679786682)","('conditioning', 0.6936150789260864)","('time', 0.5768187642097473)","[('truth_vehicles', 0.5053328275680542)]","[('happenings', 0.2745106816291809)]","[(""schulman's"", 0.21150124073028564)]","('skepticism', 0.19740596413612366)"
