,term,NN 0,NN 1,NN2,NN 5,NN10,NN 50,Outlier
28,object,"('nouns', 0.9999776482582092)","('translation', 0.9999619722366333)","('quantification', 0.9999572038650513)","[('adjectives', 0.9999461770057678)]","[('utterances', 0.9999393224716187)]","[('specious_present', 0.9939521551132202)]","('actually', 0.5657215118408203)"
29,mental_states,"('prediction', 0.9999292492866516)","('translation', 0.9999041557312012)","('quantification', 0.999896228313446)","[('sense_datum', 0.9998736381530762)]","[('adjectives', 0.9998633861541748)]","[('specious_present', 0.9944741129875183)]","('semantical', 0.5527505278587341)"
30,subtraction,"('pronouns', 0.9999666213989258)","('reduction', 0.9999603033065796)","('ordered_pair', 0.9999569654464722)","[('numbers', 0.9998225569725037)]","[('propositional_attitudes', 0.9997507333755493)]","[('learning', 0.992010235786438)]","('impredicative', 0.5641279220581055)"
31,prediction,"('parts', 0.9999641180038452)","('sense_datum', 0.9999618530273438)","('quantification', 0.9999597072601318)","[('reality', 0.999916672706604)]","[('description', 0.9998641014099121)]","[('specious_present', 0.994546115398407)]","('semantical', 0.5508294105529785)"
32,sense_datum,"('parts', 0.9999688863754272)","('prediction', 0.9999618530273438)","('conditioning', 0.9999461770057678)","[('mental_states', 0.999873697757721)]","[('ideas', 0.9998126029968262)]","[('quantifiers', 0.9945510625839233)]","('underdetermined', 0.5644139647483826)"
33,pronouns,"('reduction', 0.9999719858169556)","('ordered_pair', 0.9999668598175049)","('subtraction', 0.9999666213989258)","[('about', 0.9998492002487183)]","[('numbers', 0.9998013973236084)]","[('learning', 0.9924057722091675)]","('impredicative', 0.5632472038269043)"
34,meaning,"('about', 0.9999954700469971)","('transparency', 0.9999920129776001)","('propositional_attitudes', 0.9999880790710449)","[('observation_sentences', 0.9999762177467346)]","[('objects', 0.9999639987945557)]","[('specious_present', 0.9927600026130676)]","('actually', 0.563202977180481)"
35,construction,"('quantification', 0.9999630451202393)","('nouns', 0.9999507069587708)","('translation', 0.9999387860298157)","[('conditionals', 0.999933123588562)]","[('time', 0.9999253749847412)]","[('specious_present', 0.9939136505126953)]","('actually', 0.5648444890975952)"
36,conditioning,"('parts', 0.9999771118164062)","('sense_datum', 0.9999462366104126)","('prediction', 0.9999287724494934)","[('mental_states', 0.9998255968093872)]","[('nouns', 0.9997289180755615)]","[('quantifiers', 0.9941815137863159)]","('semantical', 0.5498359203338623)"
37,nouns,"('intensional_abstraction', 0.9999842047691345)","('translation', 0.9999822974205017)","('conditionals', 0.9999821186065674)","[('object', 0.9999776482582092)]","[('description', 0.9999714493751526)]","[('specious_present', 0.9936231374740601)]","('impredicative', 0.5550304651260376)"
38,translation,"('conditionals', 0.9999943971633911)","('intensional_abstraction', 0.9999943971633911)","('adjectives', 0.9999940395355225)","[('objects', 0.999991774559021)]","[('posit', 0.9999849796295166)]","[('specious_present', 0.9937007427215576)]","('actually', 0.5649923086166382)"
39,intension,"('posit', 0.9999974370002747)","('logical_particles', 0.9999963045120239)","('observation_sentences', 0.9999959468841553)","[('time', 0.9999940395355225)]","[('utterances', 0.9999916553497314)]","[('specious_present', 0.9931345582008362)]","('impredicative', 0.5565444231033325)"
40,about,"('transparency', 0.9999986886978149)","('propositional_attitudes', 0.9999977946281433)","('meaning', 0.9999954700469971)","[('observation_sentences', 0.9999877214431763)]","[('attributes', 0.9999781847000122)]","[('specious_present', 0.9928593635559082)]","('actually', 0.5633364915847778)"
41,propositional_attitudes,"('transparency', 0.9999978542327881)","('about', 0.9999977350234985)","('intension', 0.9999951124191284)","[('logical_particles', 0.9999892711639404)]","[('attributes', 0.9999849796295166)]","[('specious_present', 0.9928997755050659)]","('impredicative', 0.5575993061065674)"
42,utterances,"('adjectives', 0.9999994039535522)","('objects', 0.9999994039535522)","('conditionals', 0.9999991655349731)","[('logical_particles', 0.9999986886978149)]","[('translation', 0.9999939203262329)]","[('specious_present', 0.9934197664260864)]","('impredicative', 0.5555146932601929)"
43,quantification,"('nouns', 0.999968945980072)","('reality', 0.9999641180038452)","('construction', 0.9999630451202393)","[('description', 0.9999463558197021)]","[('parts', 0.9999220967292786)]","[('specious_present', 0.9940686225891113)]","('actually', 0.5655348300933838)"
44,logical_particles,"('posit', 0.9999995231628418)","('observation_sentences', 0.9999994039535522)","('time', 0.9999989867210388)","[('attributes', 0.9999984502792358)]","[('intension', 0.9999963045120239)]","[('specious_present', 0.9933205246925354)]","('impredicative', 0.5558695197105408)"
45,observation_sentences,"('logical_particles', 0.9999995231628418)","('posit', 0.9999993443489075)","('objects', 0.9999982118606567)","[('meaninglessness', 0.9999975562095642)]","[('intensional_abstraction', 0.9999954104423523)]","[('specious_present', 0.9932883381843567)]","('actually', 0.5641010403633118)"
46,adjectives,"('conditionals', 0.9999998211860657)","('intensional_abstraction', 0.9999996423721313)","('attributes', 0.9999996423721313)","[('utterances', 0.9999994039535522)]","[('translation', 0.9999940395355225)]","[('specious_present', 0.993425726890564)]","('impredicative', 0.555571436882019)"
47,objects,"('attributes', 1.0)","('time', 0.9999998807907104)","('adjectives', 0.9999996423721313)","[('intensional_abstraction', 0.9999990463256836)]","[('intension', 0.9999938011169434)]","[('specious_present', 0.993363618850708)]","('so', 0.5564380884170532)"
48,transparency,"('about', 0.9999988079071045)","('propositional_attitudes', 0.9999979734420776)","('intension', 0.999994158744812)","[('posit', 0.9999920129776001)]","[('attributes', 0.999984085559845)]","[('specious_present', 0.9929605722427368)]","('denotative', 0.5634187459945679)"
49,time,"('attributes', 0.9999999403953552)","('objects', 0.9999998807907104)","('adjectives', 0.9999995231628418)","[('posit', 0.9999990463256836)]","[('intension', 0.9999940395355225)]","[('specious_present', 0.99335116147995)]","('actually', 0.56425940990448)"
50,posit,"('logical_particles', 0.9999995231628418)","('observation_sentences', 0.9999993443489075)","('time', 0.999998927116394)","[('meaninglessness', 0.9999982714653015)]","[('intensional_abstraction', 0.9999961853027344)]","[('specious_present', 0.9932495355606079)]","('impredicative', 0.5562107563018799)"
51,attributes,"('objects', 0.9999998807907104)","('time', 0.9999998211860657)","('conditionals', 0.9999997019767761)","[('utterances', 0.9999991655349731)]","[('intension', 0.9999929666519165)]","[('specious_present', 0.9933705925941467)]","('actually', 0.5643012523651123)"
52,meaninglessness,"('attributes', 0.9999990463256836)","('time', 0.999998927116394)","('objects', 0.9999988675117493)","[('intensional_abstraction', 0.9999983310699463)]","[('intension', 0.9999924898147583)]","[('specious_present', 0.9933179616928101)]","('impredicative', 0.5560144186019897)"
53,intensional_abstraction,"('conditionals', 0.9999997615814209)","('adjectives', 0.9999996423721313)","('attributes', 0.9999994039535522)","[('utterances', 0.9999985694885254)]","[('translation', 0.9999943971633911)]","[('specious_present', 0.9934431314468384)]","('denotative', 0.5632705688476562)"
54,conditionals,"('adjectives', 0.9999998211860657)","('intensional_abstraction', 0.9999997615814209)","('attributes', 0.9999997019767761)","[('utterances', 0.9999991655349731)]","[('translation', 0.9999945163726807)]","[('specious_present', 0.9934340715408325)]","('impredicative', 0.5555078983306885)"
